time,brightness
2024-01-01 00:00:00.000000,11.449237380125636
2024-01-01 02:01:46.308725,11.380196991515728
2024-01-01 04:03:32.617450,11.25614419196359
2024-01-01 06:05:18.926174,11.06583421002777
2024-01-01 08:07:05.234899,10.963082548972984
2024-01-01 10:08:51.543624,10.945807605448255
2024-01-01 12:10:37.852349,10.881443267975746
2024-01-01 14:12:24.161074,10.874227184010277
2024-01-01 16:14:10.469799,10.90646187123785
2024-01-01 18:15:56.778523,10.849961659821167
2024-01-01 20:17:43.087248,10.67005357710843
2024-01-01 22:19:29.395973,10.773905834689765
2024-01-02 00:21:15.704698,10.771608663979745
2024-01-02 02:23:02.013423,10.762522830704444
2024-01-02 04:24:48.322148,10.678113962962472
2024-01-02 06:26:34.630872,10.753545895407582
2024-01-02 08:28:20.939597,10.731124699643024
2024-01-02 10:30:07.248322,10.78538176530971
2024-01-02 12:31:53.557047,10.759527654185748
2024-01-02 14:33:39.865772,10.854974256623683
2024-01-02 16:35:26.174497,11.018415402729273
2024-01-02 18:37:12.483221,11.099837954423265
2024-01-02 20:38:58.791946,11.170974061068117
2024-01-02 22:40:45.100671,11.39982148270125
2024-01-03 00:42:31.409396,11.485719965858106
2024-01-03 02:44:17.718121,11.592170447572336
2024-01-03 04:46:04.026846,11.69046300752515
2024-01-03 06:47:50.335570,11.720282912178849
2024-01-03 08:49:36.644295,11.870625139606961
2024-01-03 10:51:22.953020,11.801620597897383
2024-01-03 12:53:09.261745,11.899818370413715
2024-01-03 14:54:55.570470,12.037423606037185
2024-01-03 16:56:41.879195,12.12766499572518
2024-01-03 18:58:28.187919,12.054554509600477
2024-01-03 21:00:14.496644,12.157900663781463
2024-01-03 23:02:00.805369,12.19140064699355
2024-01-04 01:03:47.114094,12.262196889706281
2024-01-04 03:05:33.422819,12.302896999917413
2024-01-04 05:07:19.731544,12.291280072474482
2024-01-04 07:09:06.040268,12.325837902939085
2024-01-04 09:10:52.348993,12.34733864806037
2024-01-04 11:12:38.657718,12.244929147480946
2024-01-04 13:14:24.966443,12.219730690564713
