1717200000,12.34,-5.67,3.21
1717201423,12.12,-5.54,3.09
1717203127,12.41,-5.38,3.27
1717203922,12.09,-5.62,3.18
1717205630,12.28,-5.47,3.11
1717207132,12.19,-5.59,3.25
1717209001,12.36,-5.44,3.13
1717210120,12.07,-5.51,3.19
1717211867,12.22,-5.65,3.08
1717213555,12.15,-5.49,3.23
1717215222,12.31,-5.57,3.16
1717216999,12.18,-5.53,3.12
1717218705,12.25,-5.60,3.21
1717220122,12.11,-5.46,3.17
1717221833,12.27,-5.55,3.14
1717223501,12.14,-5.63,3.20
1717225102,12.29,-5.50,3.09
1717226900,12.21,-5.58,3.18
1717228607,12.33,-5.48,3.22
1717230123,12.16,-5.61,3.15
1717231830,12.24,-5.52,3.10
1717233502,12.13,-5.64,3.24
1717235101,12.28,-5.45,3.11
1717236900,12.20,-5.56,3.19
1717238602,12.32,-5.54,3.13
1717240120,12.17,-5.60,3.16
1717241833,12.26,-5.47,3.21
1717243501,12.10,-5.62,3.12
1717245102,12.23,-5.53,3.18
1717246900,12.30,-5.49,3.15
1717248607,12.19,-5.57,3.20
1717250123,12.27,-5.51,3.14
1717251830,12.12,-5.59,3.22
1717253502,12.25,-5.48,3.17
1717255101,12.18,-5.63,3.11
1717256900,12.31,-5.46,3.23
1717258602,12.15,-5.60,3.09
1717260120,12.22,-5.55,3.16
1717261833,12.29,-5.50,3.21
1717263501,12.14,-5.58,3.13
1717265102,12.26,-5.52,3.18


